Approach: probchain

,|W|,|T|,\mi,delta,LB,UB,Gap,Time(s)
,50,100,1,,1734.302277,1734.302277,opt,38.9
,50,100,2,,39.011411,125.56796,68.93%,7200.0
,50,100,3,,0.0,34.544387,100.00%,7200.1
,100,200,1,,2855.725526,2862.302798,0.23%,7200.1
,100,200,2,,5.740448,119.649106,95.20%,7200.1
,100,200,3,,0.0,225.388212,100.00%,7200.4
,150,300,1,,3714.644333,3740.561987,0.69%,7200.1
,150,300,2,,5.069615,109.522319,95.37%,7200.2
,150,300,3,,0.0,173.616946,100.00%,7200.8
,200,400,1,,4934.010577,4971.288239,0.75%,7200.1
,200,400,2,,3.17301,125.663695,97.47%,7200.5
,200,400,3,,0.0,569.228088,100.00%,7200.4
,250,500,1,,6658.532672,6691.842238,0.50%,7200.7
,250,500,2,,5.190686,123.233615,95.79%,7201.7
,250,500,3,,0.0,25106.522563,100.00%,7200.7
,300,600,1,,8104.914599,8137.969299,0.41%,7200.2
,300,600,2,,2.672434,30427.930751,99.99%,7202.5
,300,600,3,,0.0,30427.417883,100.00%,7200.2
,350,700,1,,0.0,35498.663088,100.00%,7201.0
,350,700,2,,0.0,35488.668604,100.00%,7200.2
,350,700,3,,0.0,35460.240642,100.00%,7204.4
,400,800,1,,0.0,42494.865293,100.00%,7201.5
,400,800,2,,0.0,42489.075414,100.00%,7202.9
,400,800,3,,0.0,42450.104081,100.00%,7205.0
,450,900,1,,0.0,46831.632832,100.00%,7201.9
,450,900,2,,0.0,46822.371351,100.00%,7204.2
,450,900,3,,0.0,46815.502429,100.00%,7205.3
,500,1000,1,,0.0,50239.266614,100.00%,7202.4
,500,1000,2,,0.0,50157.095217,100.00%,7204.4
,500,1000,3,,0.0,50139.362379,100.00%,7208.5

Approach: probchain_delta_0.001

,|W|,|T|,\mi,delta,LB,UB,Gap,Time(s)
,50,100,1,0.001,1734.131656,1734.302257,opt,1.2
,50,100,2,0.001,123.826296,123.8384,opt,77.0
